,HTAG,Date,WHH,FTHG,WHA,IWA,LBD,AwayTeam,IWD,HTHG,WHD,FTR,FTAG,Div,IWH,HTR,LBH,LBA,HomeTeam,SeasonDate
0,0,27/08/05,6,0,1.5,1.5,3.6,Barcelona,3.5,0,3.4,D,0,SP1,5.4,D,6.5,1.44,Alaves,2005
1,0,27/08/05,1.9,3,3.75,3.6,3.2,Sociedad,3,0,3,H,0,SP1,1.9,D,1.91,3.5,Ath Bilbao,2005
2,0,27/08/05,1.95,1,3.5,3.6,3.2,Betis,3,0,3.1,H,0,SP1,1.9,D,1.91,3.5,Valencia,2005
3,0,28/08/05,1.7,0,4.5,4.4,3.25,Zaragoza,3.1,0,3.2,D,0,SP1,1.7,D,1.67,4.5,Ath Madrid,2005
4,1,28/08/05,6.5,1,1.44,1.5,4,Real Madrid,3.5,0,3.6,A,2,SP1,5.4,A,6.5,1.4,Cadiz,2005
5,0,28/08/05,2.15,2,3,3.2,3.2,Malaga,2.9,1,3.1,H,0,SP1,2.1,H,2.1,3,Celta,2005
6,0,28/08/05,1.66,0,4.5,4.4,3.2,Getafe,3.1,0,3.3,A,2,SP1,1.7,D,1.67,5,Espanol,2005
7,1,28/08/05,2.37,0,2.62,2.7,3.2,La Coruna,3,0,3.1,A,1,SP1,2.3,A,2.6,2.38,Mallorca,2005
8,0,28/08/05,2.75,2,2.25,2.5,3.2,Villarreal,3,1,3.2,H,1,SP1,2.5,H,2.75,2.25,Osasuna,2005
9,0,28/08/05,1.57,1,5.5,4.8,3.2,Santander,3.3,1,3.3,H,0,SP1,1.6,H,1.67,5,Sevilla,2005
10,0,10/09/05,1.61,1,5,4,3.25,Osasuna,3.2,0,3.3,H,0,SP1,1.75,D,1.67,4.5,Betis,2005
11,0,10/09/05,2,1,3.3,3.2,3.2,Ath Madrid,3.1,0,3.1,H,0,SP1,2,D,2,3.2,La Coruna,2005
12,2,10/09/05,1.2,2,11,9,5,Celta,4.5,2,5,A,3,SP1,1.25,D,1.2,11,Real Madrid,2005
13,0,11/09/05,1.2,2,11,9,5.5,Mallorca,4.5,2,5,H,0,SP1,1.25,H,1.17,12,Barcelona,2005
14,1,11/09/05,2.25,1,2.8,2.7,3.2,Ath Bilbao,3,1,3.1,D,1,SP1,2.3,D,2.25,2.75,Getafe,2005
15,0,11/09/05,2,1,3.2,2.9,3.2,Espanol,3,0,3.2,A,2,SP1,2.2,D,2,3.2,Malaga,2005
16,0,11/09/05,1.83,0,3.75,3.5,3.2,Cadiz,3.1,0,3.2,A,1,SP1,1.9,D,1.73,4.33,Santander,2005
17,0,11/09/05,1.9,2,3.6,3.8,3.2,Alaves,3.1,2,3.1,H,1,SP1,1.8,H,1.8,4,Sociedad,2005
18,1,11/09/05,1.9,1,3.5,3.8,3.2,Sevilla,3.1,0,3.2,D,1,SP1,1.8,A,1.83,3.75,Villarreal,2005
19,1,11/09/05,2.4,2,2.6,2.5,3.2,Valencia,3,2,3.1,D,2,SP1,2.5,H,2.6,2.38,Zaragoza,2005
20,2,17/09/05,2.15,5,3,2.9,3.2,Sociedad,3,1,3.1,H,2,SP1,2.2,A,2.38,2.6,Mallorca,2005
21,1,17/09/05,1.83,2,3.75,3.5,3,La Coruna,3.1,0,3.2,D,2,SP1,1.9,A,1.83,4,Valencia,2005
22,3,18/09/05,2,3,3.3,3.1,3.2,Getafe,3,2,3.1,A,4,SP1,2.1,A,2.1,3,Alaves,2005
23,0,18/09/05,1.66,1,4.5,4,3.25,Malaga,3.2,0,3.3,A,2,SP1,1.75,D,1.62,5,Ath Bilbao,2005
24,1,18/09/05,3.1,2,2.1,2,3.2,Barcelona,3.1,1,3.1,H,1,SP1,3.2,D,4.33,1.73,Ath Madrid,2005
25,0,18/09/05,1.72,0,4.33,4,3.2,Zaragoza,3.2,0,3.2,D,0,SP1,1.75,D,1.73,4.33,Betis,2005
26,1,18/09/05,2.75,1,2.3,2.4,3.2,Villarreal,3,1,3.1,D,1,SP1,2.6,D,2.8,2.2,Cadiz,2005
27,0,18/09/05,1.72,0,4.33,3.6,3.25,Santander,3.1,0,3.2,A,1,SP1,1.85,D,1.62,5,Celta,2005
28,0,18/09/05,3.75,1,1.8,1.9,3.25,Real Madrid,3.1,0,3.3,H,0,SP1,3.5,D,3.75,1.8,Espanol,2005
29,0,18/09/05,2.37,1,2.62,2.6,3.2,Sevilla,3,0,3.1,H,0,SP1,2.4,D,2.5,2.5,Osasuna,2005
30,0,21/09/05,1.61,2,5,4.8,3.5,Valencia,3.5,1,3.3,D,2,SP1,1.55,H,1.53,5.5,Barcelona,2005
31,0,21/09/05,1.9,1,3.4,3.5,3.25,Mallorca,3.1,1,3.25,D,1,SP1,1.9,H,1.8,3.75,Getafe,2005
32,1,21/09/05,1.95,1,3.5,3.2,3,Betis,3.1,1,3.1,D,1,SP1,2,D,2.1,3.2,La Coruna,2005
33,0,21/09/05,1.72,0,4.2,3.5,3.2,Alaves,3.1,0,3.3,D,0,SP1,1.9,D,1.91,3.5,Malaga,2005
34,0,21/09/05,2.3,1,2.62,2.6,3.2,Espanol,3,0,3.2,H,0,SP1,2.4,D,2.38,2.6,Santander,2005
35,0,21/09/05,1.5,0,6,4.6,3.4,Cadiz,3.4,0,3.4,D,0,SP1,1.6,D,1.5,6,Sevilla,2005
36,2,21/09/05,2.25,3,2.75,2.5,3.2,Ath Madrid,3,0,3.2,H,2,SP1,2.5,A,2.25,2.75,Sociedad,2005
37,1,21/09/05,1.66,1,4.5,4,3.2,Celta,3.2,0,3.3,A,2,SP1,1.75,A,1.73,4.33,Villarreal,2005
38,0,21/09/05,1.72,3,4.2,3.5,3.2,Osasuna,3.1,0,3.25,H,1,SP1,1.9,D,1.91,3.5,Zaragoza,2005
39,1,22/09/05,1.4,3,7,5,3.75,Ath Bilbao,3.7,0,3.75,H,1,SP1,1.5,A,1.4,7,Real Madrid,2005
40,0,24/09/05,1.61,0,5,4,3.2,Getafe,3.2,0,3.3,A,1,SP1,1.75,D,1.67,5,Ath Madrid,2005
41,1,24/09/05,3,1,2.1,2.1,3.2,Barcelona,3,1,3.2,A,4,SP1,3.1,D,3,2.1,Betis,2005
