Index,HF,AST,HTAG,AwayTeam,AR,HC,HTHG,AS,HS,HY,WHD,HST,AF,FTAG,AY,WHH,HTR,IWA,IWD,AC,FTR,IWH,HomeTeam,WHA,FTHG,Referee,Div,HR,Date,SeasonDate
0,14,6,2,Bolton,0,7,2,13,3,0,3.2,2,16,2,2,2.2,D,3.1,3,8,D,2.1,Aston Villa,2.8,2,M Riley,E0,0,13/08/05,2005
1,15,5,1,Man United,0,8,0,12,10,3,3.2,5,14,2,1,4.33,A,1.8,3.1,6,A,3.8,Everton,1.72,0,G Poll,E0,0,13/08/05,2005
2,12,4,0,Birmingham,0,6,0,7,15,1,3.2,7,13,0,2,2.3,D,2.9,3,6,D,2.2,Fulham,2.62,0,R Styles,E0,0,13/08/05,2005
3,13,3,0,West Brom,0,3,0,13,15,2,3.3,8,11,0,3,1.7,D,4.2,3.2,6,D,1.7,Man City,4.33,0,C Foy,E0,0,13/08/05,2005
4,17,7,0,Liverpool,0,5,0,16,4,2,3.1,2,11,0,3,2.75,D,2.5,3,0,D,2.5,Middlesbrough,2.3,0,M Halsey,E0,1,13/08/05,2005
5,13,6,1,Tottenham,0,7,0,11,11,0,3.2,7,23,2,2,2.62,A,2.5,3,2,A,2.5,Portsmouth,2.3,0,B Knight,E0,0,13/08/05,2005
6,15,4,1,Charlton,1,5,1,14,12,2,3.2,8,17,3,0,2.3,D,2.9,3,5,A,2.2,Sunderland,2.62,1,H Webb,E0,0,13/08/05,2005
7,11,5,1,Blackburn,1,2,0,11,13,0,3.2,5,14,1,1,2.3,A,2.7,3,6,H,2.3,West Ham,2.62,3,A Wiley,E0,0,13/08/05,2005
8,15,1,0,Newcastle,1,8,0,2,15,0,3.75,12,17,0,1,1.4,D,5.4,3.8,3,H,1.45,Arsenal,7,2,S Bennett,E0,0,14/08/05,2005
9,14,9,0,Chelsea,0,2,0,20,12,1,4.5,5,7,1,0,8,D,1.4,3.9,6,A,6,Wigan,1.28,0,M Clattenburg,E0,0,14/08/05,2005
10,7,6,1,Man City,0,9,1,9,9,3,3.1,2,12,2,1,2.2,D,2.9,3,4,A,2.2,Birmingham,2.87,1,M Clattenburg,E0,0,20/08/05,2005
11,26,4,0,Fulham,0,8,1,8,16,2,3.25,9,14,1,2,1.95,H,3.5,3.1,1,H,1.9,Blackburn,3.3,2,H Webb,E0,0,20/08/05,2005
12,10,0,0,Wigan,0,4,1,4,21,0,3.2,10,11,0,1,1.7,H,3.8,3.1,4,H,1.8,Charlton,4.5,1,R Styles,E0,0,20/08/05,2005
