,HTAG,HF,FTR,FTAG,AY,AR,HST,HS,Date,AC,AF,HR,FTHG,IWA,HC,AwayTeam,HTHG,IWD,Div,WHH,WHD,IWH,AS,HTR,HY,WHA,AST,Referee,HomeTeam,SeasonDate
0,2,14,D,2,2,0,2,3,13/08/05,8,16,0,2,3.1,7,Bolton,2,3,E0,2.2,3.2,2.1,13,D,0,2.8,6,M Riley,Aston Villa,2005
1,1,15,A,2,1,0,5,10,13/08/05,6,14,0,0,1.8,8,Man United,0,3.1,E0,4.33,3.2,3.8,12,A,3,1.72,5,G Poll,Everton,2005
2,0,12,D,0,2,0,7,15,13/08/05,6,13,0,0,2.9,6,Birmingham,0,3,E0,2.3,3.2,2.2,7,D,1,2.62,4,R Styles,Fulham,2005
3,0,13,D,0,3,0,8,15,13/08/05,6,11,0,0,4.2,3,West Brom,0,3.2,E0,1.7,3.3,1.7,13,D,2,4.33,3,C Foy,Man City,2005
4,0,17,D,0,3,0,2,4,13/08/05,0,11,1,0,2.5,5,Liverpool,0,3,E0,2.75,3.1,2.5,16,D,2,2.3,7,M Halsey,Middlesbrough,2005
5,1,13,A,2,2,0,7,11,13/08/05,2,23,0,0,2.5,7,Tottenham,0,3,E0,2.62,3.2,2.5,11,A,0,2.3,6,B Knight,Portsmouth,2005
6,1,15,A,3,0,1,8,12,13/08/05,5,17,0,1,2.9,5,Charlton,1,3,E0,2.3,3.2,2.2,14,D,2,2.62,4,H Webb,Sunderland,2005
7,1,11,H,1,1,1,5,13,13/08/05,6,14,0,3,2.7,2,Blackburn,0,3,E0,2.3,3.2,2.3,11,A,0,2.62,5,A Wiley,West Ham,2005
8,0,15,H,0,1,1,12,15,14/08/05,3,17,0,2,5.4,8,Newcastle,0,3.8,E0,1.4,3.75,1.45,2,D,0,7,1,S Bennett,Arsenal,2005
9,0,14,A,1,0,0,5,12,14/08/05,6,7,0,0,1.4,2,Chelsea,0,3.9,E0,8,4.5,6,20,D,1,1.28,9,M Clattenburg,Wigan,2005
10,1,7,A,2,1,0,2,9,20/08/05,4,12,0,1,2.9,9,Man City,1,3,E0,2.2,3.1,2.2,9,D,3,2.87,6,M Clattenburg,Birmingham,2005
11,0,26,H,1,2,0,9,16,20/08/05,1,14,0,2,3.5,8,Fulham,1,3.1,E0,1.95,3.25,1.9,8,H,2,3.3,4,H Webb,Blackburn,2005
12,0,10,H,0,1,0,10,21,20/08/05,4,11,0,1,3.8,4,Wigan,1,3.1,E0,1.7,3.2,1.8,4,H,0,4.5,0,R Styles,Charlton,2005
13,0,8,H,0,3,1,6,15,20/08/05,5,20,0,1,7.5,5,Sunderland,1,4,E0,1.33,4,1.33,2,H,2,8,0,B Knight,Liverpool,2005
14,0,13,H,0,1,0,12,18,20/08/05,7,21,0,1,8.5,11,Aston Villa,0,4.3,E0,1.28,4.5,1.27,3,D,2,8,3,P Dowd,Man United,2005
15,0,9,D,0,1,1,6,14,20/08/05,2,11,0,0,4.4,10,West Ham,0,3.3,E0,1.7,3,1.65,6,D,1,5,1,D Gallagher,Newcastle,2005
16,0,16,H,0,1,0,8,18,20/08/05,6,10,0,2,3.5,5,Middlesbrough,0,3.1,E0,1.8,3.3,1.9,12,D,3,3.75,3,M Atkinson,Tottenham,2005
17,0,21,H,1,3,0,2,6,20/08/05,3,19,0,2,3.1,3,Portsmouth,1,3,E0,2.1,3.2,2.1,10,H,4,3,2,M Riley,West Brom,2005
18,0,10,A,1,1,0,6,16,21/08/05,3,13,0,0,3.2,8,Everton,0,3.1,E0,2.05,3.2,2,3,D,0,3.1,1,A Wiley,Bolton,2005
19,0,17,H,0,3,0,6,9,21/08/05,7,21,0,1,3.7,3,Arsenal,0,3.1,E0,1.83,3.2,1.9,9,D,2,3.75,3,G Poll,Chelsea,2005
20,2,14,A,3,1,0,8,14,23/08/05,2,15,0,0,2.7,2,Middlesbrough,0,3,E0,2.3,3.1,2.3,8,A,0,2.75,3,P Dowd,Birmingham,2005
21,1,12,D,1,1,1,11,20,23/08/05,4,10,0,1,2.7,13,Aston Villa,1,3,E0,2.4,3.1,2.3,7,D,3,2.6,3,G Poll,Portsmouth,2005
22,2,10,A,2,2,0,10,15,23/08/05,3,10,0,1,2.5,5,Man City,1,3,E0,2.62,3.1,2.5,12,A,1,2.37,7,P Walton,Sunderland,2005
23,1,16,H,1,2,0,14,20,24/08/05,7,11,0,4,9,6,Fulham,1,4.5,E0,1.22,5,1.25,8,D,5,9.5,3,M Clattenburg,Arsenal,2005
