league,SeasonDate,rank,team
la_liga,2018,1,Barcelona
la_liga,2018,2,Atletico Madrid
la_liga,2018,3,Real Madrid
la_liga,2018,4,Valencia
la_liga,2018,5,Getafe
la_liga,2018,6,Sevilla
la_liga,2018,7,Espanyol
la_liga,2018,8,Athletic Bilbao
la_liga,2018,9,Real Sociedad
la_liga,2018,10,Real Betis
la_liga,2018,11,Alaves
la_liga,2018,12,Eibar
la_liga,2018,13,Leganes
la_liga,2018,14,Villarreal
la_liga,2018,15,Levante
la_liga,2018,16,Real Valladolid
la_liga,2018,17,Celta Vigo
la_liga,2018,18,Girona
la_liga,2018,19,SD Huesca
la_liga,2018,20,Rayo Vallecano
la_liga,2017,1,Barcelona
la_liga,2017,2,Atletico Madrid
la_liga,2017,3,Real Madrid
la_liga,2017,4,Valencia
la_liga,2017,5,Villarreal
la_liga,2017,6,Real Betis
la_liga,2017,7,Sevilla
la_liga,2017,8,Getafe
la_liga,2017,9,Eibar
la_liga,2017,10,Girona
la_liga,2017,11,Espanyol
la_liga,2017,12,Real Sociedad
la_liga,2017,13,Celta Vigo
la_liga,2017,14,Alaves
la_liga,2017,15,Levante
la_liga,2017,16,Athletic Bilbao
la_liga,2017,17,Leganes
la_liga,2017,18,Deportivo La Coruna
la_liga,2017,19,Las Palmas
la_liga,2017,20,Malaga
la_liga,2016,1,Real Madrid
la_liga,2016,2,Barcelona
la_liga,2016,3,Atletico Madrid
la_liga,2016,4,Sevilla
la_liga,2016,5,Villarreal
la_liga,2016,6,Real Sociedad
la_liga,2016,7,Athletic Bilbao
la_liga,2016,8,Espanyol
la_liga,2016,9,Alaves
la_liga,2016,10,Eibar
la_liga,2016,11,Malaga
la_liga,2016,12,Valencia
la_liga,2016,13,Celta Vigo
la_liga,2016,14,Las Palmas
la_liga,2016,15,Real Betis
la_liga,2016,16,Deportivo La Coruna
la_liga,2016,17,Leganes
la_liga,2016,18,Sporting Gijon
la_liga,2016,19,Osasuna
la_liga,2016,20,Granada
la_liga,2015,1,Barcelona
la_liga,2015,2,Real Madrid
la_liga,2015,3,Atletico Madrid
la_liga,2015,4,Villarreal
la_liga,2015,5,Athletic Bilbao
la_liga,2015,6,Celta Vigo
la_liga,2015,7,Sevilla
la_liga,2015,8,Malaga
la_liga,2015,9,Real Sociedad
la_liga,2015,10,Real Betis
la_liga,2015,11,Las Palmas
la_liga,2015,12,Valencia
la_liga,2015,13,Espanyol
la_liga,2015,14,Eibar
la_liga,2015,15,Deportivo La Coruna
la_liga,2015,16,Granada
la_liga,2015,17,Sporting Gijon
la_liga,2015,18,Rayo Vallecano
la_liga,2015,19,Getafe
la_liga,2015,20,Levante
la_liga,2014,1,Barcelona
la_liga,2014,2,Real Madrid
la_liga,2014,3,Atletico Madrid
la_liga,2014,4,Valencia
la_liga,2014,5,Sevilla
la_liga,2014,6,Villarreal
la_liga,2014,7,Athletic Bilbao
la_liga,2014,8,Celta Vigo
la_liga,2014,9,Malaga
la_liga,2014,10,Espanyol
la_liga,2014,11,Rayo Vallecano
la_liga,2014,12,Real Sociedad
la_liga,2014,13,Elche
la_liga,2014,14,Levante
la_liga,2014,15,Getafe
la_liga,2014,16,Deportivo La Coruna
la_liga,2014,17,Granada
la_liga,2014,18,Eibar
la_liga,2014,19,Almeria
la_liga,2014,20,Cordoba
la_liga,2013,1,Atletico Madrid
la_liga,2013,2,Barcelona
la_liga,2013,3,Real Madrid
la_liga,2013,4,Athletic Bilbao
la_liga,2013,5,Sevilla
la_liga,2013,6,Villarreal
la_liga,2013,7,Real Sociedad
la_liga,2013,8,Valencia
la_liga,2013,9,Celta Vigo
la_liga,2013,10,Levante
la_liga,2013,11,Malaga
la_liga,2013,12,Rayo Vallecano
la_liga,2013,13,Getafe
la_liga,2013,14,Espanyol
la_liga,2013,15,Granada
la_liga,2013,16,Elche
la_liga,2013,17,Almeria
la_liga,2013,18,Osasuna
la_liga,2013,19,Real Valladolid
la_liga,2013,20,Real Betis
la_liga,2012,1,Barcelona
la_liga,2012,2,Real Madrid
la_liga,2012,3,Atletico Madrid
la_liga,2012,4,Real Sociedad
la_liga,2012,5,Valencia
la_liga,2012,6,Malaga
la_liga,2012,7,Real Betis
la_liga,2012,8,Rayo Vallecano
la_liga,2012,9,Sevilla
la_liga,2012,10,Getafe
la_liga,2012,11,Levante
la_liga,2012,12,Athletic Bilbao
la_liga,2012,13,Espanyol
